episode,timestep,reward,episode_length
2855,47920,1.0,14.8
2861,48000,1.0,13.5
2867,48080,1.0,13.5
2873,48160,1.0,14.1667
2878,48240,1.0,13.6
2883,48320,1.0,16.8
2889,48400,1.0,13.1667
2895,48480,1.0,13.3333
2900,48560,1.0,13.4
2906,48640,1.0,14.3333
2913,48720,1.0,13.7143
2918,48800,1.0,13.8
2924,48880,1.0,14.1667
2928,48960,1.0,19.0
2934,49040,1.0,13.3333
2940,49120,1.0,13.6667
2946,49200,1.0,12.8333
2952,49280,1.0,14.5
2958,49360,1.0,13.8333
2964,49440,1.0,13.0
2969,49520,1.0,14.2
2976,49600,1.0,13.1429
2982,49680,1.0,12.6667
2987,49760,1.0,14.2
2994,49840,1.0,12.8571
3000,49920,1.0,13.0
3006,50000,1.0,13.6667
